"ISO-8601 date","Total visitor count"
2025-09-17T01:55:53Z,11821
2025-09-18T01:55:55Z,11909
2025-09-19T01:59:27Z,12007
2025-09-20T01:53:48Z,12124
2025-09-21T02:07:07Z,12200
2025-09-22T02:07:03Z,12287
2025-09-23T01:56:25Z,12402
2025-09-24T01:57:54Z,12490
2025-09-25T01:59:23Z,12610
2025-09-26T01:58:18Z,12713
2025-09-27T01:53:18Z,12792
2025-09-28T02:07:55Z,12882
2025-09-29T02:01:44Z,12982
2025-09-30T01:56:28Z,13078
2025-10-01T02:09:00Z,13178
2025-10-02T01:56:32Z,13292
2025-10-03T01:56:08Z,13369
2025-10-04T01:51:55Z,13453
2025-10-05T02:07:19Z,13531
2025-10-06T01:59:50Z,13633
2025-10-07T01:57:26Z,13740
2025-10-08T01:56:48Z,13843
2025-10-09T01:58:05Z,13953
2025-10-10T01:58:38Z,14040
2025-10-11T01:53:36Z,14153
2025-10-12T02:02:42Z,14239
2025-10-13T02:06:16Z,14319
2025-10-14T01:59:04Z,14435
2025-10-15T02:01:52+00:00,14566
2025-10-16T02:00:44+00:00,14694
2025-10-18T01:54:33+00:00,14795
2025-10-19T02:18:23+00:00,14885
2025-10-20T02:09:38+00:00,15016
2025-10-21T02:03:02+00:00,15124
2025-10-22T02:06:10+00:00,15319
2025-10-23T02:01:39+00:00,15471
2025-10-24T01:57:30+00:00,15580
2025-10-25T01:59:21+00:00,15675
2025-10-26T02:08:27+00:00,15787
2025-10-27T02:18:39+00:00,15910
2025-10-28T02:02:14+00:00,16034
2025-10-29T02:09:30+00:00,16160
2025-10-30T02:08:02+00:00,16261
2025-10-31T02:05:20+00:00,16376
2025-11-01T02:08:55+00:00,16474
2025-11-02T02:17:25+00:00,16559
2025-11-03T02:16:14+00:00,16698
2025-11-04T02:05:38+00:00,16791
2025-11-05T02:07:42+00:00,16926
2025-11-06T02:07:41+00:00,17062
2025-11-07T02:05:53+00:00,17185
2025-11-08T01:59:24+00:00,17294
2025-11-09T02:15:42+00:00,17411
2025-11-10T02:17:30+00:00,17559
2025-11-11T02:08:13+00:00,17677
2025-11-12T02:07:04+00:00,17853
